Q7,Q9,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,pharma_favor_4,pharma_made_4,pharma_bias_4,stim1_t_First Click,stim1_t_Last Click,stim1_t_Page Submit,stim1_t_Click Count,stim1_fav_4,stim1_made_4,stim1_bias_4,stim2_t_First Click,stim2_t_Last Click,stim2_t_Page Submit,stim2_t_Click Count,stim2_favor_4,stim2_made_4,stim2_bias_4,stim3_t_First Click,stim3_t_Last Click,stim3_t_Page Submit,stim3_t_Click Count,stim3_favor_4,"stim3_,ade_4",stim3_bias_4,stim4_t_First Click,stim4_t_Last Click,stim4_t_Page Submit,stim4_t_Click Count,stim4_favor_4,stim4_made_4,stim4_bias_4,stim5_t_First Click,stim5_t_Last Click,stim5_t_Page Submit,stim5_t_Click Count,stim5_favor_4,stim5_made_4,stim5_bias_4,stim6_t_First Click,stim6_t_Last Click,stim6_t_Page Submit,stim6_t_Click Count,stim6_favor_4,stim6_made_4,stim6_bias_4,stim7_t_First Click,stim7_t_Last Click,stim7_t_Page Submit,stim7_t_Click Count,stim7_favor_4,stim7_made_4,stim7_bias_4,stim8_t_First Click,stim8_t_Last Click,stim8_t_Page Submit,stim8_t_Click Count,stim8_favor_4,stim8_made_4,stim8_bias_4,stim9_t_First Click,stim9_t_Last Click,stim9_t_Page Submit,stim9_t_Click Count,stim9_favor_4,stim9_made_4,stim9_bias_4,stim10_t_First Click,stim10_t_Last Click,stim10_t_Page Submit,stim10_t_Click Count,stim10_favor_4,stim10_made_4,stim10_bias_4,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,stim11_favor_4,stim11_made_4,stim11_bias_4,stim12_t_First Click,stim12_t_Last Click,stim12_t_Page Submit,stim12_t_Click Count,stim12_favor_4,stim12_made_4,stim12_bias_4,stim13_t_First Click,stim13_t_Last Click,stim13_t_Page Submit,stim13_t_Click Count,stim13_favor_4,stim13_made_4,stim13_bias_4,stim14_t_First Click,stim14_t_Last Click,stim14_t_Page Submit,stim14_t_Click Count,stim14_favor_4,stim14_made_4,stim14_bias_4,stim15_t_First Click,stim15_t_Last Click,stim15_t_Page Submit,stim15_t_Click Count,stim15_favor_4,stim15_made_4,stim15_bias_4,stim16_t_First Click,stim16_t_Last Click,stim16_t_Page Submit,stim16_t_Click Count,stim16_favor_4,stim16_made_4,stim16_bias_4,stim17_t_First Click,stim17_t_Last Click,stim17_t_Page Submit,stim17_t_Click Count,stim17_favor_4,stim17_made_4,stim17_bias_4,stim18_t_First Click,stim18_t_Last Click,stim18_t_Page Submit,stim18_t_Click Count,stim18_favor_4,stim18_made_4,stim18_bias_4,Q120,Q122,random_id
A31JNOIR8FRLZR,I understand these instructions.,2.601,14.524,16.359,6,11,34,34,2.146,8.6,10.137,4,-15,-23,18,4.275,28.816,30.32,7,13,20,23,6.684,14.201,15.815,5,18,23,26,3.808,9.021,10.624,4,11,22,36,1.268,16.375,17.535,8,17,32,17,1.638,11.837,13.008,6,13,18,23,5.115,14.331,16.697,5,-9,-17,2,5.841,18.962,27,7,18,26,26,9.327,20.811,21.437,6,18,31,25,7.356,15.94,17.988,5,-24,-26,-13,4.437,14.144,15.152,7,4,8,18,8.317,23.354,60.087,4,22,34,14,4.887,34.171,37.362,9,39,21,36,3.02,9.341,10.88,6,-19,21,21,5.768,11.15,12.628,3,20,31,18,2.712,9.639,16.4,5,11,18,25,4.253,16.502,18.326,8,18,27,18,3.348,24.053,27.348,11,14,15,5,Republican,Man,544391
A3RWB1WRVTKK0W,I understand these instructions.,5.776,11.248,12.455,4,-21,-8,25,36.08,42.484,43.383,5,-32,-20,38,10.524,53.301,60.011,7,16,-26,-14,3.282,10.797,12.782,5,11,26,-16,3.176,13.522,14.968,9,-6,15,-35,3.591,8.585,11.342,4,-33,-20,35,1.778,8.954,10.865,4,10,-32,15,4.634,10.845,11.931,3,26,14,-27,2.009,15.624,18.301,4,18,14,-36,7.531,14.722,17.794,3,15,28,-23,4.776,10.361,11.35,3,-27,-8,21,4.182,16.75,18.132,9,-27,-12,24,3.488,16.214,17.822,10,35,25,7,3.585,10.069,12.492,5,25,36,-12,2.552,14.401,15.674,10,15,29,-25,4.384,13.289,14.288,8,-40,-23,37,5.73,12.812,13.727,4,-29,-14,36,5.407,20.095,21.434,8,32,19,-29,4.098,22.669,23.065,6,34,11,-17,Independent,Woman,951368
A2E2WWXG8X2B1Y,I understand these instructions.,0.981,4.402,5.474,3,23,35,50,14.914,20.174,20.911,3,36,50,17,72.253,85.039,85.616,5,50,32,38,2.046,6.002,6.852,3,-30,-50,-30,1.055,4.609,5.748,3,-30,-50,-26,10.827,17.426,18.368,4,28,45,27,12.132,16.405,17.429,5,29,50,24,9.38,16.17,17.146,5,-42,-37,-36,16.494,26.874,27.721,4,34,-32,37,1.461,3.607,4.691,2,-35,-50,-29,1.163,5.602,6.61,4,-40,-23,-46,1.161,4.362,4.887,3,34,50,32,4.461,9.758,10.82,4,41,0,27,1.091,4.436,5.195,3,26,50,27,13.717,24.917,25.795,3,38,-34,32,2.356,5.813,6.663,3,30,48,31,1.239,4.56,5.496,3,-23,-50,-31,5.397,20.643,21.249,3,35,23,45,6.969,18.249,19.489,4,32,-28,47,Republican,Man,222613
A25YHJE4ME90MI,I understand these instructions.,2.044,7.091,8.557,4,11,11,13,1.724,6.608,9.033,3,12,11,13,3.529,17.728,18.699,6,5,6,6,1.63,7.057,8.114,3,-12,-15,16,15.624,18.602,20.055,2,14,0,15,2.79,7.916,9.072,4,8,13,12,1.88,6.782,7.605,3,-7,-7,8,1.496,6.183,6.962,3,-12,-12,15,12.878,16.271,17.196,3,8,10,21,1.026,7.459,12.557,4,-16,-11,11,3.113,13.195,14.16,8,-18,-17,14,22.606,36.851,37.945,3,9,7,7,2.633,6.19,7.58,3,13,13,15,2.185,6.74,7.616,3,10,10,10,28.554,37.423,38.761,6,6,15,10,2.641,7.293,7.964,3,-8,17,19,1.548,7.673,8.043,5,13,20,17,4.04,9.36,9.697,4,-9,-7,7,0.238,10.996,12.677,6,5,6,9,Democrat,Man,135929
A2NUGRVI6IEGN7,I understand these instructions.,7.602,14.545,15.337,3,-23,-41,44,9.67,18.85,19.88,8,35,33,19,9.296,19.655,21.342,5,-25,-28,18,7.854,11.653,12.287,3,25,29,44,52.802,62.671,66.33,3,0,0,-19,6.882,13.124,18.466,5,0,0,-42,18.744,25.953,26.857,4,25,34,20,7.996,12.382,14.847,3,0,0,0,5.366,8.528,9.791,3,-8,0,-33,25.262,39.378,42.858,4,0,-2,0,15.626,22.479,23.374,5,33,47,25,13.901,26.526,27.158,9,-20,-37,23,9.025,15.439,17.605,4,28,34,33,21.792,27.903,28.801,4,-23,-38,20,8.406,13.1,13.933,4,-25,-33,18,6.647,12.006,12.898,3,-27,-29,-19,15.845,34.169,35.269,9,31,-23,11,17.377,32.419,33.932,5,-29,-17,-23,31.352,37.508,39.381,5,15,17,-21,Independent,Man,219318
AV61EFCFJ9WQS,I understand these instructions.,6.445,25.705,48.06,5,21,22,23,0.159,5.853,7.364,3,21,16,16,14.957,23.777,26.468,3,23,13,15,0.96,6.628,7.466,3,19,20,22,5.556,38.177,60.045,7,0,21,20,0.461,12.035,12.927,4,18,19,24,2.871,8.189,10.96,3,14,12,10,0.731,8.44,9.09,3,15,17,23,3.186,11.858,13.852,3,15,22,15,44.603,57.543,59.051,5,0,12,19,0.602,8.358,9.83,4,19,20,17,0.729,9.435,10.39,3,16,16,23,0.098,10.818,12.741,4,16,25,27,2.172,7.368,8.803,3,16,16,18,0.79,8.787,9.989,3,26,19,19,0.56,5.989,7.178,3,24,17,15,0.77,5.339,6.44,3,10,32,30,1.001,7.963,10.72,3,25,21,21,2.628,5.795,7.339,3,11,23,17,Democrat,Man,891075
AFT8BLNNL0N1E,I understand these instructions.,10.568,13.496,14.912,3,-16,-18,20,4.56,8.449,9.623,4,13,23,34,3.139,6.993,7.93,3,-9,11,6,4.016,7.233,8.151,3,17,11,-14,5.269,8.463,9.302,3,8,11,-25,7.934,15.412,16.121,3,25,27,13,3.036,6.7,7.593,3,15,-16,-15,11.68,14.233,15.389,3,-8,16,-9,24.583,27.43,28.846,3,-10,-9,-11,24.574,43.124,44.211,3,-18,-16,-6,6.539,9.834,11.086,3,-3,-1,-14,20.516,23.825,24.857,3,11,-13,-13,10.652,14.379,14.594,4,-22,-10,-13,18.776,35.063,35.824,5,20,42,18,6.298,10.507,11.633,3,-1,0,-10,5.458,9.133,10.003,3,-7,-15,8,9.256,14.191,15.261,4,15,28,24,10.04,17.8,24.104,3,11,22,5,5.129,9.232,10.445,3,25,30,10,Democrat,Woman,985275
A1FSLHMRJTD31H,I understand these instructions.,2.58,19.417,21.462,16,42,31,0,2.708,8.787,10.117,5,43,14,0,14.529,31.326,33.722,6,46,39,0,2.746,14.438,15.215,8,40,41,0,2.175,19.462,27.016,8,25,45,,3.125,12.861,14.12,6,42,28,0,2.355,12.028,12.547,6,42,25,0,6.738,17.308,18.657,6,44,35,0,1.646,10.362,11.539,5,42,31,0,1.346,35.616,37.653,16,43,48,,1.661,8.877,10.234,3,44,44,0,1.306,10.602,12.29,3,45,32,0,1.632,10.373,12.091,5,46,46,0,26.467,34.978,36.357,5,46,41,0,2.802,14.32,15.442,5,42,27,0,3.9,13.893,15.247,4,42,37,0,6.91,14.675,15.878,3,46,41,0,2.914,22.732,24.602,11,30,39,0,4.164,20.255,22.476,9,44,32,0,Republican,Man,727529
A1BBC3XMOB889H,I understand these instructions.,38.483,42.973,44.801,4,14,10,11,0.417,4.792,5.792,4,11,7,10,6.738,15.627,17.283,5,12,15,13,0.85,4.344,5.735,3,11,7,11,2.401,12.899,15.257,6,8,10,10,0.417,4.147,5.301,3,9,8,13,0.051,5.172,6.469,4,12,9,6,0.782,4.894,6.436,3,12,11,8,0.898,7.236,8.726,6,15,12,13,1.181,10.175,11.674,6,11,9,6,1.931,4.375,5.762,3,10,7,11,0.058,5.574,6.742,4,9,12,6,1.601,6.483,7.687,4,9,10,5,0.438,5.962,7.344,4,12,13,11,0.513,3.764,5.095,3,11,8,7,4.878,20.216,21.201,8,6,7,10,0.783,11.298,12.946,6,14,10,14,3.165,7.64,8.943,5,13,7,11,2.213,7.002,8.913,4,10,8,13,Democrat,Woman,608435
A12OZ7P7Z41SJI,I understand these instructions.,14.347,19.03,20.181,3,2,1,18,28.201,32.764,33.652,3,20,21,24,26.873,45.518,47.17,5,0,1,-13,11.263,15.614,16.91,3,0,0,-12,9.437,13.34,14.376,3,0,0,-12,11.613,16.5,17.747,3,0,0,-16,11.229,37.052,38.13,5,22,27,44,15.569,25.945,27.264,5,-1,0,-10,12.002,17.354,18.456,4,0,0,-11,10.872,23.993,25.605,4,0,0,13,13.036,36.068,37.497,8,22,24,46,31.792,37.272,38.4,3,-9,-11,16,5.857,11.689,12.439,3,0,0,-11,15.668,20.279,21.643,3,0,0,-17,20.99,26.734,29.155,4,0,0,-18,8.117,15.307,16.689,4,0,-3,-25,14.12,36.454,40.467,4,0,0,10,9.668,17.675,19.954,3,0,0,-18,21.192,37.63,40.333,5,0,0,-11,Republican,Man,523846
